transaction_id,"Transaction ID"
error_code,"Approval Code"
avs_result,"AVS Result"
cvv2_result,"CVV2 Result"
auth_code,"Authorization Code"
auth_response_text,"Authorization Response Message"
american-express,"American Express"
discover,"Discover"
mastercard,"Mastercard"
master-card,"Mastercard"
visa,"Visa"
maestro,"Maestro"
diners-club,"Diners Club"
unionpay,"Union Pay"
